#{"t_start": 1649801445.6609292, "env_id": null}
r,l,t
-300.0,300,5.976061
-300.0,300,9.934934
-300.0,300,13.208758
-300.0,300,16.840842
-300.0,300,19.843094
-300.0,300,23.162598
-300.0,300,27.034379
-300.0,300,30.769181
-300.0,300,33.820771
-300.0,300,37.408072
-247.0,273,46.465566
41.0,50,47.058852
-385.0,300,50.71231
92.0,9,50.79628
93.0,8,50.895343
-375.0,300,54.566935
-380.0,300,58.137368
93.0,8,58.292295
91.0,10,58.399944
94.0,7,58.479424
-385.0,300,62.141053
95.0,6,62.249945
33.0,53,62.811802
-375.0,300,66.379595
94.0,7,66.457166
92.0,9,66.548993
-385.0,300,73.713364
83.0,18,74.02535
0.0,81,75.084075
-375.0,300,78.793326
-380.0,300,82.474966
-385.0,300,85.720183
-385.0,300,88.921649
-12.0,93,90.185279
-85.0,146,91.991068
-380.0,300,95.537874
-90.0,151,100.774611
95.0,6,100.903521
92.0,9,101.088922
95.0,6,101.274989
95.0,6,101.369882
88.0,13,101.572259
88.0,13,101.82101
94.0,7,101.945523
92.0,9,102.100809
95.0,6,102.194839
92.0,9,102.302998
95.0,6,102.396584
94.0,7,102.646691
95.0,6,102.709726
-385.0,300,106.366059
93.0,8,106.454241
-380.0,300,110.030563
95.0,6,110.103918
-385.0,300,113.705633
2.0,79,114.707951
-375.0,300,118.136482
95.0,6,118.214682
-385.0,300,122.205976
74.0,22,122.480597
-385.0,300,129.539068
-390.0,300,133.186053
93.0,8,133.29382
93.0,8,133.390731
74.0,22,133.637003
93.0,8,133.823231
93.0,8,133.99479
95.0,6,134.120019
-390.0,300,137.579213
