#{"t_start": 1649586454.5011122, "env_id": "SuperMarioBros-v0"}
r,l,t
642,16213,223.670183
676,8333,343.222975
616,16201,579.59924
786,24062,919.26505
749,16197,1155.730836
1955,1259,1465.934625
1955,1259,1472.825592
1955,1259,1479.176622
1955,1259,1485.568594
1955,1259,1492.032707
1955,1259,1498.705751
1955,1259,1505.467751
1955,1259,1511.810752
1955,1259,1518.118781
1955,1259,1524.608783
1955,1259,1531.283752
1955,1259,1538.034752
1955,1259,1544.491754
1955,1259,1550.812751
1955,1259,1557.343781
1955,1259,1564.213782
1955,1259,1570.747751
1955,1259,1576.936752
1955,1259,1583.543783
1955,1259,1590.386783
